feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
catch_rate,-0.3085329163220107,-0.047147037327534155,0.22404942140073286,0.04747935494969078,0.005107690409860472,0.16157721232802147,0.060701696869167494
qb_rating_against,-0.17131808722294284,0.16770333050764902,0.41345516462124027,-0.022769264370949328,-0.28366175143044847,0.2900117211134226,0.003353962206386447
yards_per_coverage_snap,-0.18765907054789432,0.4509936582263946,0.10137745162376786,0.057297119575534634,0.10833348863237413,0.159898238230083,0.045323057879724016
yards_per_reception,0.14507016766512312,0.3447860893096819,0.2564943783974779,-0.07282051216328342,0.11193545645402636,0.18210077979332132,0.04118809317947515
missed_tackle_rate,-0.0013795196995882613,-0.02584681717204841,0.019451559775803554,-0.029564667877945656,0.38074941384770306,0.5943712084081468,-0.033729322304971505
forced_incompletion_rate,0.27649107771935627,0.0968966402504553,-0.2749655192243771,0.0830038809380692,-0.3329605519420648,0.20054304909081377,-0.0464268699841716
avg_depth_of_target,0.2867987875265359,0.27376058955508814,0.14519504809120864,-0.013457086803537069,-0.0008000047442698793,-0.12673787762984703,0.001033447416858274
coverage_snaps_per_reception,0.3219285039627996,-0.26587481450524325,0.08658952943238675,-0.11638996226276319,-0.05761531896462019,-0.06124584968171937,-0.036379729236772865
coverage_snaps_per_target,0.20222195733395895,-0.3655364062553387,0.29370858092865676,-0.12180616922469523,-0.06448031391171884,0.039335937297941666,0.009343883595480048
target_rate,-0.21026374250738666,0.35932935310369285,-0.28522600063704395,0.13354123528274023,0.07705133293869477,-0.0512054454766878,-0.009799167395179574
int_rate,0.11336376271664791,-0.04524862281352635,-0.19285264576879407,0.029728157102697182,0.6805283731184744,-0.11634071734182361,0.08897522670840725
pbu_rate,0.2628661695294607,0.07618489454731635,-0.2983990841477221,0.11951697869108079,-0.30027649807928963,0.3313563013791536,-0.038534431318416267
playmaking_rate,0.28024453417976125,0.046939138673181016,-0.3462906243680852,0.11784316649183908,0.03541822438339798,0.23947317018276845,0.0052664405865509925
outside_rate,0.2874213580802561,0.24872909039785976,0.17715614404879795,0.13344368149064081,0.003754876143470144,-0.22882016199039715,0.03547817865125333
slot_rate,-0.2842479565907245,-0.23228311585988687,-0.18954919750079363,-0.13991708380542686,0.0018015907290590963,0.216125084406816,-0.02972362653792031
box_rate,-0.12483317932942568,-0.1245748294789475,-0.02958157614034876,0.03527750754428139,-0.04307334376674198,0.19702733412612747,-0.06718115360291128
man_rate,-0.02266043414641255,0.18729147731158458,-0.14684534261622148,-0.6372540742152863,-0.025854217890092124,-0.06125748385629903,-0.017725494402218156
zone_rate,0.01986677181018345,-0.14244664878582686,0.15338134687818292,0.6477531386104756,0.07314103112806576,0.02774464687531186,0.03580173869810193
pressure_rate,0.025047557811244247,-0.041435673873861004,-0.05168915634232912,-0.04802537538985325,-0.08394417709207906,0.05849387080464911,0.984343162375059
run_stop_rate,-0.2588068051853866,-0.1323603356796517,-0.22016991013333254,0.06945535874990032,-0.12739352750633723,-0.08424383172868138,0.021625498602459173
tackles_per_snap,-0.25249996776152467,0.11381391897964166,-0.14153447860184712,0.1843613033904942,-0.2007258453523771,-0.2827923444989666,0.02593449245472927
